序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别？,2、您的年级是？,3、您会仔细阅读各软件、平台的隐私条款吗？,4、您会连接公共免费Wi-Fi吗？,5、在公共设备登陆私人账号会检查是否退出吗？,6、在网站或软件请求你提供真实信息时，你是否会真实填写？,7、您会定期修改账号密码吗？,8、是否会在一段时间内常收到同一类型的骚扰电话？,9、收到骚扰电话的类型？,10、有无社交账号被盗经历？,11、您认为大数据推送属于侵犯隐私吗？,12、您认为部分软件要求获取定位、访问通讯录等权限，会泄露隐私吗？,13、您是否会同意软件使用获取定位、访问通讯录等权限？,14、认为自己个人信息隐私受到侵害后，您会采取什么措施？,15、您对于“个人信息泄露状况和隐私权保护情况”还有什么其他看法吗？
4,2021/4/14 19:41,61秒,微信,N/A,223.104.246.46(浙江-杭州),男,大一,不会,会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,不会,同意，我认为问题不大,不采取任何措施,(空)
5,2021/4/14 19:43,245秒,微信,N/A,223.104.244.170(浙江-杭州),男,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,不同意，保护隐私更重要,不采取任何措施,无
6,2021/4/14 19:59,194秒,微信,N/A,183.157.162.85(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,不采取任何措施,无
7,2021/4/14 19:59,89秒,微信,N/A,223.104.244.170(浙江-杭州),男,大一,会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,请求法律援助,无
8,2021/4/14 19:59,89秒,微信,N/A,223.104.164.63(浙江-湖州),男,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
9,2021/4/14 20:00,34秒,微信,N/A,223.104.246.46(浙江-杭州),男,大一,不会,会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,不会,同意，我，莫得选择,向网络经营者寻求帮助┋不采取任何措施,(空)
10,2021/4/14 20:03,179秒,微信,"嘤嘤怪的一朵玫瑰花[女,广东,珠海]",112.17.247.216(浙江-未知),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班,无,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
11,2021/4/14 20:06,47秒,微信,"进无止境[未知,,]",223.104.247.36(浙江-杭州),男,大一,会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
12,2021/4/14 20:06,58秒,微信,"唐泫的璇[男,浙江,台州]",183.157.162.84(浙江-杭州),男,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产┋保险推销┋其他〖幼儿培养〗,无,不属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,(空)
13,2021/4/14 20:07,50秒,微信,"joker[男,英格兰,伦敦]",223.104.246.46(浙江-杭州),男,大一,不会,会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,不会,同意，我，莫得选择,向网络经营者寻求帮助┋不采取任何措施,(空)
